anio,semestre,periodo,trabajo_de,grupo_rol,dedicacion,sal_bruto,log_sal,sueldo_dolarizado,seniority,experiencia,antiguedad_empresa,antiguedad_puesto,gente_a_cargo,gente_a_cargo_grupo,contrato,modalidad,tam_empresa,genero_simple,edad,nivel_estudios,region,uso_ia
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,47000,10.757902880692196,NA,NA,16,16,16,0,Sin equipo,Staff,NA,NA,Hombre,38,Terciario,Interior,NA
2019,1,2019.1,BI Analyst / Data Analyst,Data Science / AI,NA,24,3.1780538303479458,NA,NA,4,5,3,0,Sin equipo,Staff,NA,NA,Hombre,36,Universitario,Interior,NA
2019,1,2019.1,DBA,Data Platform / MLOps,NA,45000,10.714417768752456,NA,NA,20,16,12,3,Equipo pequeño,Staff,NA,NA,Hombre,41,Universitario,Interior,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,42478,10.656741573828192,NA,NA,19,6,6,0,Sin equipo,Staff,NA,NA,Hombre,37,Universitario,Interior,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,71516,11.17767647987171,NA,NA,12,5,5,0,Sin equipo,Staff,NA,NA,Hombre,38,Universitario,Interior,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,15000,9.615805480084347,NA,NA,5,2,2,0,Sin equipo,Staff,NA,NA,Hombre,23,Universitario,Interior,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,100000,11.512925464970229,NA,NA,20,20,10,7,Equipo mediano,Staff,NA,NA,Hombre,43,Universitario,Interior,NA
2019,1,2019.1,DBA,Data Platform / MLOps,NA,27000,10.203592144986466,NA,NA,4,2,2,0,Sin equipo,Staff,NA,NA,Hombre,23,Secundario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,54000,10.896739325546411,NA,NA,20,1,1,0,Sin equipo,Staff,NA,NA,Hombre,37,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,135184,11.814392092392627,NA,NA,8,1,1,0,Sin equipo,Staff,NA,NA,Hombre,29,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,54000,10.896739325546411,NA,NA,8,0,1,0,Sin equipo,Tercerizado,NA,NA,Hombre,32,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,31108,10.345220299814834,NA,NA,1,1,1,0,Sin equipo,Staff,NA,NA,Hombre,24,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,95000,11.461632170582678,NA,NA,10,0,0,0,Sin equipo,Staff,NA,NA,Hombre,31,Terciario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,105000,11.56171562913966,NA,NA,10,0,0,0,Sin equipo,Staff,NA,NA,Hombre,28,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,115000,11.652687407345388,NA,NA,3,1,2,0,Sin equipo,Staff,NA,NA,Hombre,24,Secundario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,158000,11.970350312009105,NA,NA,5,2,2,0,Sin equipo,Staff,NA,NA,Hombre,29,Secundario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,30000,10.308952660644293,NA,NA,15,0,0,0,Sin equipo,Staff,NA,NA,Hombre,42,Secundario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,55000,10.915088464214607,NA,NA,5,3,3,0,Sin equipo,Staff,NA,NA,Hombre,32,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,90000,11.407564949312402,NA,NA,10,3,3,0,Sin equipo,Staff,NA,NA,Hombre,36,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,35000,10.46310334047155,NA,NA,10,2,2,0,Sin equipo,Staff,NA,NA,Hombre,32,Secundario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,35000,10.46310334047155,NA,NA,4,3.5,3.5,2,Equipo pequeño,Staff,NA,NA,Hombre,26,Secundario,CABA,NA
2019,1,2019.1,DBA,Data Platform / MLOps,NA,75000,11.225243392518447,NA,NA,20,6,6,2,Equipo pequeño,Staff,NA,NA,Hombre,39,Terciario,CABA,NA
2019,1,2019.1,Infosec,Governance / Security,NA,60000,11.002099841204238,NA,NA,10,2,2,0,Sin equipo,Contractor,NA,NA,Hombre,31,Secundario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,77000,11.251560700835821,NA,NA,22,0,6,4,Equipo pequeño,Staff,NA,NA,Hombre,39,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,60000,11.002099841204238,NA,NA,5,2,2,0,Sin equipo,Staff,NA,NA,Hombre,31,Universitario,CABA,NA
2019,1,2019.1,SysAdmin / DevOps / SRE,Data Platform / MLOps,NA,71500,11.177452728682098,NA,NA,10,0,0,0,Sin equipo,Staff,NA,NA,Hombre,38,Universitario,CABA,NA
