"Para analizar los resultados podés bajar el .csv (Archivo > Descargar como)        
        
Recordá calificar a la empresa donde estás trabajando en www.openqube.io

Esta obra está bajo una Licencia Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_pesos_argentinos,ultimo_salario_mensual_o_retiro_neto_en_pesos_argentinos,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,tuviste_actualizaciones_de_tus_ingresos_laborales_durante_2024,de_que_fue_el_ajuste_total_acumulado,en_que_mes_fue_el_ultimo_ajuste,como_consideras_que_estan_tus_ingresos_laborales_comparados_con_el_semestre_anterior,contas_con_beneficios_adicionales,que_tan_conforme_estas_con_tus_ingresos_laborales,estas_buscando_trabajo,trabajo_de,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,si_trabajas_bajo_un_esquema_hibrido_cuantos_dias_a_la_semana_vas_a_la_oficina,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,en_los_ultimos_6_meseshubo_reduccion_de_personal,la_recomendas_como_un_buen_lugar_para_trabajar,que_tanto_estas_usando_copilotchatgpt_u_otras_herramientas_de_ia_para_tu_trabajo,salir_o_seguir_contestando,maximo_nivel_de_estudios,estado,carrera,institucion_educativa,salir_o_seguir_contestando_sobre_las_guardias,tenes_guardias,cuanto_cobras_por_guardia,aclara_el_numero_que_ingresaste_en_el_campo_anterior,salir_o_seguir_contestando_sobre_estudios,tengo_edad,genero,sueldo_dolarizado,seniority,_sal
0,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,1500000,Cobro parte del salario en dólares,1000,No,No recibo bono,Dos,50,Marzo,4,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,3,1,3,0,"Amazon Web Services, Docker","HTML, Javascript, PHP, TypeScript","Laravel, Next.js, React.js, WordPress, Tailwind",MariaDB,Jest,De 2 a 10 personas,100% remoto,0,"Si, acorde a inflación ",No,10,5,Responder sobre mis estudios,Posgrado/Especialización,Incompleto,Publicidad,UADE - Universidad Argentina De la Empresa,Terminar encuesta,,,,,31,Hombre Cis,TRUE,Semi-Senior,1700000
1,Buenos Aires,Full-Time,Staff (planta permanente),2000000,1900000,Cobro parte del salario en dólares,,Menos de un sueldo,Performance individual,Tres,75,Marzo,4,Ninguna de las anteriores,4,"No, estoy muy conforme.",Technical Leader,3,3,3,7,"Amazon Web Services, Docker, Kubernetes","Javascript, TypeScript",Node.js,"PostgreSQL, Redis",Postman,De 11  a 50  personas,100% remoto,0,,No,8,3,Responder sobre mis estudios,Universitario,Incompleto,Derecho,Universidad Siglo 21,Responder sobre guardias,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,Terminar encuesta,28,Hombre Cis,TRUE,Semi-Senior,2000000
2,Córdoba,Full-Time,Contractor,1000000,1000000,Cobro todo el salario en dólares,1500,No,No recibo bono,No,0,No tuve,4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Data Engineer,5,3,3,0,"Azure, Docker, Windows Server","C#, Python, R, Scala, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL, SQLite, Teradata",Postman,De 101 a 200 personas,100% remoto,0,Si pero para los que nos atan en contractor,No,8,5,Responder sobre guardias,Universitario,En curso,Ingeniería en Software,Universidad Siglo 21,Responder sobre guardias,No,0,Neto,Terminar encuesta,27,Hombre Cis,TRUE,Semi-Senior,1000000
3,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),850000,2700000,Cobro parte del salario en dólares,1010,No,No recibo bono,Uno,65,Abril,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Developer,9,7,6,4,"Amazon Web Services, Azure, Docker, Firebase","CSS, HTML, Javascript, SQL, TypeScript","Angular, Bootstrap, Cordova, Flutter, jQuery, Next.js, Node.js, React.js","MongoDB, MySQL, PostgreSQL, SQLite","Jest, JUnit, Karma, Postman, Visual Studio Coded UI",De 201 a 500 personas,100% remoto,0,,No sé,8,2,Terminar encuesta,,,,,,,,,,31,Hombre Cis,TRUE,Senior,850000
4,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3300000,3000000,Cobro todo el salario en dólares,1000,No,No recibo bono,Uno,100,Abril,4,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Technical Leader,5,5,2,6,"Docker, Google Cloud Platform, Kubernetes",".NET, Javascript, TypeScript",".NET Core, Angular",Google Cloud Storage,Jest,De 11  a 50  personas,100% remoto,0,,No,10,1,Terminar encuesta,,,,,,,,,,34,Hombre Cis,TRUE,Semi-Senior,3300000
